,ballotpedia_state_candidate_links
0,https://ballotpedia.org/Richard_Bowers_(Alabama)
1,https://ballotpedia.org/Jarmal_Jabbar_Sanders
2,https://ballotpedia.org/Lisa_Murkowski
3,https://ballotpedia.org/Sam_Little_(Alaska)
4,https://ballotpedia.org/Karl_Speights
5,https://ballotpedia.org/Kelly_Tshibaka
6,https://ballotpedia.org/Dustin_Darden
7,https://ballotpedia.org/Sean_Thorne
8,https://ballotpedia.org/Huhnkie_Lee
9,https://ballotpedia.org/Mark_Kelly
10,https://ballotpedia.org/Jack_Foster_(Arkansas)
11,https://ballotpedia.org/Natalie_James
12,https://ballotpedia.org/Dan_Whitfield
13,https://ballotpedia.org/Alex_Padilla
14,https://ballotpedia.org/Akinyemi_Agbede
15,https://ballotpedia.org/Brian_Ainsworth
16,https://ballotpedia.org/James_P._Bradley_(California)
17,https://ballotpedia.org/James_Henry_Conn
18,https://ballotpedia.org/Danny_Fabricant
19,https://ballotpedia.org/Yvonne_Girard
20,https://ballotpedia.org/Paul_Gutierrez
21,https://ballotpedia.org/Dhruva_Herle
22,https://ballotpedia.org/Chloe_Hollett-Billingsley
23,https://ballotpedia.org/Obaidul_Huq_Pirjada
24,https://ballotpedia.org/Denard_Ingram
25,https://ballotpedia.org/Fepbrina_Keivaulqe_Autiameineire
26,https://ballotpedia.org/Max_Khenson
27,https://ballotpedia.org/Sarah_Sun_Liew
28,https://ballotpedia.org/Peter_Yuan_Liu
29,https://ballotpedia.org/Robert_Lucero
30,https://ballotpedia.org/Mark_P._Meuser
31,https://ballotpedia.org/Douglas_Howard_Pierce
32,https://ballotpedia.org/Irene_Ratliff
33,https://ballotpedia.org/Chuck_Smith_(California)
34,https://ballotpedia.org/Ernest_Taylor
35,https://ballotpedia.org/Mary_Glory_Thach
36,https://ballotpedia.org/Erik_Urbina
37,https://ballotpedia.org/Ellerton_Whitney
38,https://ballotpedia.org/Cordie_Williams
39,https://ballotpedia.org/Brant_John-Michael_Williams
40,https://ballotpedia.org/Lily_Zhou
41,https://ballotpedia.org/Teal'c_Anderson
42,https://ballotpedia.org/Aaron_Trevino
43,https://ballotpedia.org/John_Flynn_(Connecticut)
44,https://ballotpedia.org/Robert_Hyde
45,https://ballotpedia.org/Peter_Lumaj
46,https://ballotpedia.org/Carlos_Barberena
47,https://ballotpedia.org/Shantele_Bennett
48,https://ballotpedia.org/Grace_Granda
49,https://ballotpedia.org/Steven_B._Grant
50,https://ballotpedia.org/Jason_Holic
51,https://ballotpedia.org/Tuan_Nguyen_(Florida)
52,https://ballotpedia.org/Ahmad_Saide
53,https://ballotpedia.org/Timothy_Devine
54,https://ballotpedia.org/George_Litchfield
55,https://ballotpedia.org/Chase_Oliver
56,https://ballotpedia.org/Bob_McDermott
57,https://ballotpedia.org/Scott_Cleveland
58,https://ballotpedia.org/Bill_Redpath
59,https://ballotpedia.org/Jason_Gabehart
60,https://ballotpedia.org/Ellen_Kizik
61,https://ballotpedia.org/Abby_Finkenauer
62,https://ballotpedia.org/Michael_Franken
63,https://ballotpedia.org/Glenn_Hurst
64,https://ballotpedia.org/Jerry_Moran
65,https://ballotpedia.org/Mark_R._Holland_(Kansas)
66,https://ballotpedia.org/Robert_Klingenberg
67,https://ballotpedia.org/Michael_Soetaert
68,https://ballotpedia.org/Joan_Farr
69,https://ballotpedia.org/David_Biery
70,https://ballotpedia.org/John_Neely_Kennedy
71,https://ballotpedia.org/Gary_Chambers
72,https://ballotpedia.org/Luke_Mixon
73,https://ballotpedia.org/Jaden_Thomas_Farris
74,https://ballotpedia.org/Michelle_Smith_(Maryland)
75,https://ballotpedia.org/Jon_McGreevey
76,https://ballotpedia.org/James_Tarantin
77,https://ballotpedia.org/Ronald_Deets
78,https://ballotpedia.org/Steve_Price
79,https://ballotpedia.org/Nicholas_Strauss
80,https://ballotpedia.org/Joseph_Destin
81,https://ballotpedia.org/Maggie_Hassan
82,https://ballotpedia.org/Don_Bolduc
83,https://ballotpedia.org/Dennis_Lamare
84,https://ballotpedia.org/Edmond_Laplante
85,https://ballotpedia.org/Chuck_Morse
86,https://ballotpedia.org/Tejasinha_Sivalingam
87,https://ballotpedia.org/Kevin_Smith_(New_Hampshire)
88,https://ballotpedia.org/Moses_Mugulusi
89,https://ballotpedia.org/Khaled_Salem
90,https://ballotpedia.org/Tyrrell_Lev_Sharif_Ben-Avi
91,https://ballotpedia.org/Joshua_Eisen
92,https://ballotpedia.org/Pat_Hahn
93,https://ballotpedia.org/Alex_Mici
94,https://ballotpedia.org/Joe_Pinion
95,https://ballotpedia.org/Mark_Szuszkiewicz
96,https://ballotpedia.org/Mohammad_Ahmed
97,https://ballotpedia.org/Joel_Anabilah-Azumah
98,https://ballotpedia.org/Nicholas_Mantanona
99,https://ballotpedia.org/Walter_Masterson
100,https://ballotpedia.org/Luca_Nascimbene
101,https://ballotpedia.org/Diane_Sare
