,ballotpedia_state_candidate_links
0,https://ballotpedia.org/Richard_Bowers_(Alabama)
1,https://ballotpedia.org/Jarmal_Jabbar_Sanders
2,https://ballotpedia.org/Lisa_Murkowski
3,https://ballotpedia.org/Dustin_Darden
4,https://ballotpedia.org/Elvi_Gray-Jackson
5,https://ballotpedia.org/Huhnkie_Lee
6,https://ballotpedia.org/Sam_Little_(Alaska)
7,https://ballotpedia.org/Karl_Speights
8,https://ballotpedia.org/Sean_Thorne
9,https://ballotpedia.org/Kelly_Tshibaka
10,https://ballotpedia.org/Marc_Victor
11,https://ballotpedia.org/Jack_Foster_(Arkansas)
12,https://ballotpedia.org/Natalie_James
13,https://ballotpedia.org/Dan_Whitfield
14,https://ballotpedia.org/Alex_Padilla
15,https://ballotpedia.org/Akinyemi_Agbede
16,https://ballotpedia.org/Brian_Ainsworth
17,https://ballotpedia.org/Marie_Arnold
18,https://ballotpedia.org/James_P._Bradley_(California)
19,https://ballotpedia.org/James_Henry_Conn
20,https://ballotpedia.org/Marie_Encar_Arnold
21,https://ballotpedia.org/Danny_Fabricant
22,https://ballotpedia.org/Yvonne_Girard
23,https://ballotpedia.org/Paul_Gutierrez
24,https://ballotpedia.org/Dhruva_Herle
25,https://ballotpedia.org/Chloe_Hollett-Billingsley
26,https://ballotpedia.org/Obaidul_Huq_Pirjada
27,https://ballotpedia.org/Denard_Ingram
28,https://ballotpedia.org/Fepbrina_Keivaulqe_Autiameineire
29,https://ballotpedia.org/Max_Khenson
30,https://ballotpedia.org/Sarah_Sun_Liew
31,https://ballotpedia.org/Peter_Yuan_Liu
32,https://ballotpedia.org/Robert_Lucero
33,https://ballotpedia.org/Mark_P._Meuser
34,https://ballotpedia.org/Douglas_Howard_Pierce
35,https://ballotpedia.org/Irene_Ratliff
36,https://ballotpedia.org/Chuck_Smith_(California)
37,https://ballotpedia.org/Ernest_Taylor
38,https://ballotpedia.org/Mary_Glory_Thach
39,https://ballotpedia.org/Chris_Theodore
40,https://ballotpedia.org/Erik_Urbina
41,https://ballotpedia.org/Ellerton_Whitney
42,https://ballotpedia.org/Brant_John-Michael_Williams
43,https://ballotpedia.org/Cordie_Williams
44,https://ballotpedia.org/Lily_Zhou
45,https://ballotpedia.org/Teal'c_Anderson
46,https://ballotpedia.org/Aaron_Trevino
47,https://ballotpedia.org/John_Flynn_(Connecticut)
48,https://ballotpedia.org/Robert_Hyde
49,https://ballotpedia.org/Themis_Klarides
50,https://ballotpedia.org/Leora_Levy
51,https://ballotpedia.org/Peter_Lumaj
52,https://ballotpedia.org/Carlos_Barberena
53,https://ballotpedia.org/Shantele_Bennett
54,https://ballotpedia.org/Grace_Granda
55,https://ballotpedia.org/Steven_B._Grant
56,https://ballotpedia.org/Jason_Holic
57,https://ballotpedia.org/Tuan_Nguyen_(Florida)
58,https://ballotpedia.org/Ahmad_Saide
59,https://ballotpedia.org/Timothy_Devine
60,https://ballotpedia.org/George_Litchfield
61,https://ballotpedia.org/Chase_Oliver
62,https://ballotpedia.org/Bob_McDermott
63,https://ballotpedia.org/Scott_Cleveland
64,https://ballotpedia.org/Bill_Redpath
65,https://ballotpedia.org/Jason_Gabehart
66,https://ballotpedia.org/Ellen_Kizik
67,https://ballotpedia.org/Abby_Finkenauer
68,https://ballotpedia.org/Michael_Franken
69,https://ballotpedia.org/Glenn_Hurst
70,https://ballotpedia.org/Mark_R._Holland_(Kansas)
71,https://ballotpedia.org/Robert_Klingenberg
72,https://ballotpedia.org/Michael_Soetaert
73,https://ballotpedia.org/David_Biery
74,https://ballotpedia.org/John_Neely_Kennedy
75,https://ballotpedia.org/Gary_Chambers
76,https://ballotpedia.org/Luke_Mixon
77,https://ballotpedia.org/Syrita_Steib
78,https://ballotpedia.org/Jaden_Thomas_Farris
79,https://ballotpedia.org/Michelle_Smith_(Maryland)
80,https://ballotpedia.org/Reba_Hawkins
81,https://ballotpedia.org/Jon_McGreevey
82,https://ballotpedia.org/James_Tarantin
83,https://ballotpedia.org/Ronald_Deets
84,https://ballotpedia.org/Steve_Price
85,https://ballotpedia.org/Nicholas_Strauss
86,https://ballotpedia.org/Joseph_Destin
87,https://ballotpedia.org/Maggie_Hassan
88,https://ballotpedia.org/Don_Bolduc
89,https://ballotpedia.org/Dennis_Lamare
90,https://ballotpedia.org/Edmond_Laplante
91,https://ballotpedia.org/Chuck_Morse
92,https://ballotpedia.org/Tejasinha_Sivalingam
93,https://ballotpedia.org/Kevin_Smith_(New_Hampshire)
94,https://ballotpedia.org/Jeremy_Kauffman
95,https://ballotpedia.org/Vivika_Alexander
96,https://ballotpedia.org/Mohammad_Ahmed
97,https://ballotpedia.org/Joel_Anabilah-Azumah
98,https://ballotpedia.org/Nicholas_Mantanona
99,https://ballotpedia.org/Walter_Masterson
100,https://ballotpedia.org/Luca_Nascimbene
101,https://ballotpedia.org/Diane_Sare
