,ballotpedia_state_pg_links
0,"https://ballotpedia.org/United_States_Senate_election_in_Alabama,_2022"
1,"https://ballotpedia.org/United_States_Senate_election_in_Alaska,_2022"
2,"https://ballotpedia.org/United_States_Senate_election_in_Arizona,_2022"
3,"https://ballotpedia.org/United_States_Senate_election_in_Arkansas,_2022"
4,"https://ballotpedia.org/United_States_Senate_election_in_California,_2022"
5,"https://ballotpedia.org/United_States_Senate_election_in_Colorado,_2022"
6,"https://ballotpedia.org/United_States_Senate_election_in_Connecticut,_2022"
7,"https://ballotpedia.org/United_States_Senate_election_in_Florida,_2022"
8,"https://ballotpedia.org/United_States_Senate_election_in_Georgia,_2022"
9,"https://ballotpedia.org/United_States_Senate_election_in_Hawaii,_2022"
10,"https://ballotpedia.org/United_States_Senate_election_in_Idaho,_2022"
11,"https://ballotpedia.org/United_States_Senate_election_in_Illinois,_2022"
12,"https://ballotpedia.org/United_States_Senate_election_in_Indiana,_2022"
13,"https://ballotpedia.org/United_States_Senate_election_in_Iowa,_2022"
14,"https://ballotpedia.org/United_States_Senate_election_in_Kansas,_2022"
15,"https://ballotpedia.org/United_States_Senate_election_in_Kentucky,_2022"
16,"https://ballotpedia.org/United_States_Senate_election_in_Louisiana,_2022"
17,"https://ballotpedia.org/United_States_Senate_election_in_Maryland,_2022"
18,"https://ballotpedia.org/United_States_Senate_election_in_Missouri,_2022"
19,"https://ballotpedia.org/United_States_Senate_election_in_Nevada,_2022"
20,"https://ballotpedia.org/United_States_Senate_election_in_New_Hampshire,_2022"
21,"https://ballotpedia.org/United_States_Senate_election_in_New_York,_2022"
22,"https://ballotpedia.org/United_States_Senate_election_in_North_Carolina,_2022"
23,"https://ballotpedia.org/United_States_Senate_election_in_North_Dakota,_2022"
24,"https://ballotpedia.org/United_States_Senate_election_in_Ohio,_2022"
25,"https://ballotpedia.org/United_States_Senate_election_in_Oklahoma,_2022"
26,"https://ballotpedia.org/United_States_Senate_election_in_Oregon,_2022"
27,"https://ballotpedia.org/United_States_Senate_election_in_Pennsylvania,_2022"
28,"https://ballotpedia.org/United_States_Senate_election_in_South_Carolina,_2022"
29,"https://ballotpedia.org/United_States_Senate_election_in_South_Dakota,_2022"
30,"https://ballotpedia.org/United_States_Senate_election_in_Utah,_2022"
31,"https://ballotpedia.org/United_States_Senate_election_in_Vermont,_2022"
32,"https://ballotpedia.org/United_States_Senate_election_in_Washington,_2022"
