,candidate_campaign_links
0,candidate-Gavin Dass
1,https://www.twitter.com/Gavin4Congress
2,https://www.instagram.com/gavin4congress/
3,candidate-Victor D. Dunn
4,https://victordunn4congress.com/
5,https://www.facebook.com/dunnforcongress/
6,https://www.twitter.com/dunn4congress
7,https://www.facebook.com/victor.dunn.376
8,candidate-Jrmar Jefferson
9,https://www.jeffersonforcongress.com/
10,https://www.facebook.com/jrmarjefferson/
11,https://www.facebook.com/DelmaJrmarJefferson
12,https://www.twitter.com/JrmarJefferson
13,https://www.linkedin.com/in/jrmarjefferson/
14,candidate-Stephen Kocen
15,https://www.kocenforcongress.com/
16,https://www.facebook.com/TXdist1/
17,https://www.twitter.com/Kocen4Congress
18,candidate-Rosey Quinn
19,candidate-Aditya Atholi
20,https://atholiforcongress.com/
21,https://www.facebook.com/atholiforcongress
22,https://www.twitter.com/Atholi4Congress
23,https://www.instagram.com/atholiforcongress/
24,https://www.youtube.com/channel/UCmvyu4eajivaX3_2bM3NHng
25,candidate-Joe McDaniel
26,https://www.joemcdaniel.com/
27,https://www.facebook.com/joemcdanielforuscongress
28,https://www.twitter.com/joemcd2
29,https://www.facebook.com/joemcd2
30,candidate-Nathaniel Moran
31,https://ballotpedia.org/Help:Report_an_error
32,https://nathanielmoran.com/
33,https://www.facebook.com/moranforcongress
34,https://www.twitter.com/moran4congress
35,https://www.facebook.com/nqmoran
36,https://www.linkedin.com/in/nathaniel-moran-1b9a4016/
37,candidate-John Porro
38,https://johnporro4tx.com/
39,https://www.facebook.com/JohnPorro4TX/
40,https://www.twitter.com/JohnPorro4TX
41,https://www.facebook.com/john.porro.9
42,https://www.linkedin.com/in/john-porro-904969124/
43,candidate-Robin Fulford
44,https://www.fulfordforcongress.com/
45,https://www.facebook.com/RobinFulfordTX
46,https://www.twitter.com/RobinFulfordTX
47,https://www.instagram.com/RobinFulfordTX
48,https://www.facebook.com/ucla.robin
49,https://www.twitter.com/robindfulford
50,https://www.linkedin.com/in/robin-fulford-04bb209
51,candidate-Rayna Reid
52,https://www.facebook.com/RaynaReidforCongress
53,https://www.facebook.com/rayna.delaviev
54,https://www.twitter.com/_raynareid
55,https://www.linkedin.com/in/rayna-reid/
56,candidate-Daniel Crenshaw
57,https://crenshaw.house.gov/
58,https://www.facebook.com/RepDanCrenshaw/
59,https://www.twitter.com/RepDanCrenshaw
60,https://www.youtube.com/channel/UC2XDiCjAHtJqnSEzrHAY5IQ
61,https://crenshawforcongress.com/
62,https://www.facebook.com/CrenshawforCongress
63,https://www.twitter.com/DanCrenshawTX
64,https://www.instagram.com/dancrenshawtx/
65,https://www.youtube.com/channel/UCoghGq7h46VPsJiCHv2N2JA
66,https://www.facebook.com/daniel.crenshaw.50
67,candidate-Jameson Ellis
68,https://jamesonellis.com/
69,https://www.facebook.com/thejamesonellis
70,https://www.twitter.com/thejamesonellis
71,https://www.instagram.com/thejamesonellis/
72,https://www.youtube.com/channel/UCvgdfF-Q32ywyX8l2hn4sWQ
73,https://www.facebook.com/jamesonellistx
74,candidate-Martin Etwop
75,https://www.martinetwop.com
76,https://www.facebook.com/MartinEtwopForCongress
77,https://www.facebook.com/metwop
78,https://www.linkedin.com/in/martin-etwop-85596698/
79,candidate-Milam Langella
80,https://www.milam4congress.com
81,https://www.twitter.com/Milam2022
82,candidate-Mike Billand
83,https://www.facebook.com/MikeBillandforTX/
84,https://www.twitter.com/billand_mike
85,candidate-Lucia Rodriguez
86,candidate-Doc Shelby
87,https://www.docshelby.com/
88,https://www.facebook.com/docshelby2022/
89,https://www.twitter.com/docshelby2022
